#time,flux,flux_err
145.019119108,1.001923084,0.000267153
145.039553538,1.001861572,0.000266977
145.059987967,1.001499891,0.000266965
145.080422397,1.002483010,0.000267033
145.100856826,1.001715660,0.000266857
145.121291355,1.001671433,0.000267081
145.141725684,1.001492262,0.000266955
145.162160114,1.001114249,0.000267171
145.182594443,1.001464605,0.000266821
145.203028972,1.002119303,0.000267160
145.223463400,1.001357913,0.000266625
145.243897729,1.001726985,0.000266874
145.264332258,1.001837373,0.000266793
145.284766686,1.001583457,0.000266781
145.305201115,1.001519799,0.000266900
145.325635443,1.001027465,0.000266855
145.346069972,1.001443028,0.000266964
145.366504400,1.001251817,0.000266768
145.386938728,1.001113415,0.000267009
145.407373256,1.001096606,0.000267109
145.427807684,1.000774503,0.000267097
145.448242012,1.001231790,0.000266892
145.468676439,1.001492620,0.000266992
145.489110967,1.001361728,0.000266982
145.509545295,1.001307487,0.000267039
145.529979722,1.001071095,0.000266709
145.550414150,1.001132131,0.000266908
145.570848677,1.001265168,0.000266699
145.591283004,1.000792861,0.000266760
145.611717432,1.000831842,0.000266966
145.632151959,1.000863194,0.000266661
145.652586286,1.001278520,0.000266735
145.673020712,1.000845313,0.000266780
145.693455039,1.001097679,0.000266795
145.734323993,1.000825763,0.000266933
145.754758419,1.001281023,0.000267068
145.775192845,1.000792384,0.000267123
145.795627272,1.001239061,0.000267084
145.816061698,1.000480652,0.000267027
145.836496024,1.001001596,0.000266921
145.856930550,1.000743628,0.000267051
145.877364976,1.000821710,0.000266997
145.897799302,1.000877023,0.000267087
145.918233828,1.000191927,0.000266994
145.938668254,1.000414133,0.000267098
145.959102579,1.000679374,0.000266979
145.979537005,1.000433087,0.000266897
145.999971530,1.001182437,0.000267111
146.020405955,1.000627756,0.000266993
146.040840281,1.000710607,0.000267165
146.061274806,1.000615835,0.000267195
146.081709231,1.000694633,0.000267033
146.102143556,1.000766993,0.000267014
146.122577981,1.000277162,0.000267094
146.143012506,1.000434279,0.000267028
146.163446830,1.000025749,0.000266998
146.183881255,1.001106381,0.000267255
146.204315679,1.000478268,0.000267114
146.224750104,1.000120640,0.000267002
146.245184528,1.000381231,0.000267126
146.265618952,1.000460148,0.000266979
146.286053377,1.000444293,0.000267093
146.306487801,1.000954986,0.000267065
146.347356548,1.001098037,0.000267277
146.367791072,1.000194192,0.000267182
146.388225496,0.999820352,0.000267218
146.408659819,1.000391245,0.000267197
146.429094343,1.000834703,0.000267194
146.449528766,1.000323176,0.000267124
146.469963090,1.000228167,0.000267146
146.490397613,1.000176549,0.000267143
146.510832036,1.000467300,0.000267148
146.531266459,1.000350952,0.000266962
146.551700782,1.000114322,0.000267089
146.572135305,0.999958396,0.000267190
146.592569727,1.000334859,0.000267244
146.613004150,0.993360519,0.000266641
146.633438473,0.944164991,0.000262241
146.653872995,0.860662043,0.000254550
146.674307417,0.755450964,0.000244984
146.694741740,0.641843379,0.000233966
146.715176262,0.536736131,0.000223398
146.735610684,0.549124956,0.000224662
146.756045106,0.658419907,0.000235537
146.776479428,0.771828175,0.000246626
146.796913950,0.873729527,0.000256066
146.817348371,0.954151988,0.000263142
146.837782693,0.995946765,0.000266631
146.858217114,1.000218868,0.000267054
146.878651636,0.999829888,0.000267040
146.899085957,0.999952912,0.000267008
146.919520378,1.000119925,0.000267071
146.939954899,0.999873996,0.000267000
146.960389221,1.000150919,0.000266874
146.980823641,0.999951422,0.000266812
147.001258062,0.999718845,0.000266826
147.021692483,1.000024796,0.000266881
147.042126904,1.000069976,0.000267041
147.062561324,0.999871254,0.000266870
147.082995845,0.999941766,0.000267046
147.103430165,0.999551833,0.000266958
147.123864585,0.999337077,0.000266606
147.144298905,0.999831259,0.000266846
147.164733425,1.000421762,0.000267047
147.185167845,0.998985827,0.000266864
147.205602165,0.999743402,0.000266976
147.226036685,0.999798179,0.000266850
147.246471105,0.999466062,0.000266913
147.266905524,0.999693930,0.000266677
147.287339844,0.999811172,0.000266795
147.307774363,0.999963462,0.000266870
147.328208783,0.999332845,0.000266757
147.348643102,0.999382198,0.000266815
147.369077521,0.999575615,0.000266779
147.389512040,1.000761747,0.000266907
147.430380778,0.999559283,0.000266735
147.450815296,0.999413550,0.000266310
147.471249615,0.999504745,0.000266487
147.491684033,0.999811769,0.000266877
147.512118452,0.999485672,0.000266586
147.552987288,0.999549091,0.000266564
147.573421706,0.999528527,0.000266940
147.593856224,0.999908209,0.000266502
147.614290542,0.999442279,0.000266646
147.634724960,0.999742627,0.000266480
147.655159278,1.000024676,0.000266921
147.675593796,0.999369800,0.000266681
147.696028213,0.999262214,0.000266691
147.716462531,0.999165952,0.000266873
147.736897048,0.999415755,0.000266755
147.757331465,0.999321342,0.000266694
147.777765882,0.999412179,0.000266560
147.798200199,0.999369919,0.000266323
147.818634716,0.999876976,0.000266733
147.839069133,0.999761462,0.000266880
147.859503450,0.999245048,0.000266818
147.920806699,0.999188244,0.000266656
147.941241116,0.999746203,0.000266858
147.961675632,0.999042153,0.000266384
147.982109948,0.998633385,0.000266254
148.022978780,0.998858929,0.000266463
148.043413296,0.999142051,0.000266867
148.063847612,0.998906016,0.000266749
148.084282027,0.999152601,0.000266512
148.104716543,0.999354303,0.000266702
148.125150858,0.999176502,0.000266767
148.166019689,0.998940229,0.000266558
148.186454104,0.999431968,0.000266790
148.206888519,0.999144793,0.000266830
148.247757449,0.999004662,0.000266500
148.268191763,0.999574959,0.000266900
